Store Name,Address,Location,Timings,Latitude,Longitude,Phone
Jawahar Nagar,"Shop No 2, UA/29 Bungalow Road, Opposite Hansraj Girls Hostel, Jawahar Nagar, Delhi, 110007",Delhi,11:00 AM to 09:30 PM,,,8929811423
Paschim Vihar,"Shop No A3/182, Ground Floor, Paschim Vihar, New Delhi, 110063",Delhi,11:00 AM to 09:30 PM,,,7428891110
"Model Town, New Delhi","Shop No 2, H4/6, Ground Floor, Model Town, New Delhi, 110009",Delhi,11:00 AM to 09:30 PM,,,7428891111
Old Rajendar Nagar,"Shop No 6/80, Ground Floor, Shankar Road, Old Rajendar Nagar, New Delhi, 110060",Delhi,11:00 AM to 09:30 PM,,,7428891112
Geeta Colony,"Shop No 11/13, Ground Floor, Geeta Colony, Delhi, 110031",Delhi,11:00 AM to 09:30 PM,,,9643075085
Vasundhra Enclave,"Vardhman Sunrise Plaza, Vasundhara Enclave, New Delhi, 110096",Delhi,11:00 AM to 09:30 PM,,,8929302372
"Sector 6, Dwarka","Shop No OG1 & OG2, Odion Plaza, Plot No 2, Sector 6 Central Market, Dwarka, New Delhi, 110075",Delhi,11:00 AM to 09:30 PM,,,7428891124
Vikaspuri,"Shop No 407, Soniapur, Block Kg 1, Near Pvr Vikaspuri, Vikaspuri, New Delhi, 110018",Delhi,11:00 AM to 09:30 PM,,,7428891125
East Patel Nagar,"Shop No 18/30, Ground Floor, East Patel Nagar, New Delhi, 110008",Delhi,11:00 AM to 09:30 PM,,,7428891126
Naraina Vihar,"Shop No E- 36 A, Block E, Near Vodafone Store, Naraina Vihar, New Delhi, 110028",Delhi,11:00 AM to 09:30 PM,,,7428891127
Sector 7 Rohini,"Property No 1, Pocket No C 9, Sector 7, Rohini, Near Rohini East Metro Station, New Delhi, 110031",Delhi,11:00 AM to 09:30 PM,,,8447731771
Dwarka Mor,"Shop No C-1/4&5, Ground Floor, Rama Park, Nawada, Uttam Nagar, Near Dwarka Mor Metro Station, New Delhi, 110059",Delhi,11:00 AM to 09:30 PM,,,8447892802
Amar Colony,"C 8 Amar Colony, Market, Amar Colony, New Delhi, 110024",Delhi,11:00 AM to 09:30 PM,,,7303157158
Sector 17 Rohini,"A 25 & 26, Ground Floor, Pocket 1, Sector 17, Rohini, Delhi, 110089",Delhi,11:00 AM to 09:30 PM,,,7065045112
SDA Market,"Shop No C 15/A, SDA Market, Near Chaayos, Delhi, 110016",Delhi,11:00 AM to 09:30 PM,,,9319372677
"Sector 9, Rohini","Shop No G9 & G10, Vikas Surya Tower, Sector 9, DC Chowk, Rohini, New Delhi, 110085",Delhi,11:00 AM to 09:30 PM,,,7428891149
Kalkaji,"Shop No H10 A, Ground Floor, Kalka Ji Main Market, New Delhi, 110019",Delhi,11:00 AM to 09:30 PM,,,7428891153
"Sector 8, RK Puram","Shop No 14, Main Market, Sector 8, Near HDFC Bank, RK Puram, New Delhi, 110022",Delhi,11:00 AM to 09:30 PM,,,7428891154
Janakpuri District Centre,"Shop No G2 B, Janak Place, Janakpuri District Centre, New Delhi, 110058",Delhi,11:00 AM to 09:30 PM,,,7428891155
Green Park Main Market,"S2B, Ground Floor, Green Park Main Market, Near Bandhan Bank, New Delhi, 110016",Delhi,11:00 AM to 09:30 PM,,,7428891156
Shalimar Bagh,"Shop No Al 58, Ground Floor, Near Al Market, Shalimar Bagh, New Delhi, 110088",Delhi,11:00 AM to 09:30 PM,,,7428891157
Durgapuri,"1449/118B, Main 100 Ft Road, Shahdara, Durgapuri, Delhi, 110093",Delhi,11:00 AM to 09:30 PM,,,8376908797
"Masoodpur, Vasant Kunj","Shop No C9, Masoodpur, Opposite Mother Dairy, Vasant Kunj, New Delhi, 110070",Delhi,11:00 AM to 09:30 PM,,,7428891161
